doc_id,text,author
11,"The effect of recency is all but absolutely constant. Of two events of equal significance the remoter one will be the one more likely to be forgotten. The memories of childhood which persist in old age can hardly be compared with the events of the day or hour which are forgotten, for these latter are trivial once-repeated things, whilst the childish reminiscences have been wrought into us during the retrospective hours of our entire intervening life. Other things equal, at all times of life recency promotes memory. The only exception I can think of is the unaccountable memory of certain moments of our childhood, apparently not fitted by their intrinsic interest to survive, but which are perhaps the only incidents we can remember out of the year in which they occurred. Everybody probably has isolated glimpses of certain hours of his nursery life, the position in which he stood or sat, the light of the room, what his father or mother said, etc. These moments so oddly selected for immunity from the tooth of time probably owe their good fortune to historical peculiarities which it is now impossible to trace. Very likely we were reminded of them again soon after they occurred; that became a reason why we should again recollect them, etc., so that at last they became ingrained.",james
12,"The attention which we lend to an experience is proportional to its vivid or interesting character; and it is a notorious fact that what interests us most vividly at the time is, other things equal, what we remember best. An impression may be so exciting emotionally as almost to leave a scar upon the cerebral tissues; and thus originates a pathological delusion. ""A woman attacked by robbers takes all the men whom she sees, even her own son, for brigands bent on killing her. Another woman sees her child run over by a horse; no amount of reasoning, not even the sight of the living child, will persuade her that he is not killed. A woman called 'thief' in a dispute remains convinced that every one accuses her of stealing (Esquirol). Another, attacked with mania at the sight of the fires in her street during the Commune, still after six months sees in her delirium flames on every side about her (Luys), etc., etc.""",james
13,"On the general effectiveness of both attention and repetition I cannot do better than copy what M. Taine has written: If we compare different sensations, images, or ideas, we find that their aptitudes for revival are not equal. A large number of them are [p. 671] obliterated, and never reappear through life; for instance, I drove through Paris a day or two ago, and though I saw plainly some sixty or eighty new faces, I cannot now recall any one of them; some extraordinary circumstance, a fit of delirium, or the excitement of haschish would be necessary to give them a chance of revival. On the other hand, there are sensations with a force of revival which nothing destroys or decreases. Though, as a rule, time weakens and impairs our strongest sensations, these reappear entire and intense, without having lost a particle of their detail, or any degree of their force. M. Brierre de Boismont, having suffered when a child from a disease of the scalp, asserts that 'after fifty-five years have elapsed he can still feel his hair pulled out under the treatment of the skull-cap.' -- For my own part, after thirty years, I remember feature for feature the appearance of the theatre to which I was taken for the first time. From the third row of boxes, the body of the theatre appeared to me an immense well, red and flaming, swarming with heads; below, on the right, on a narrow floor, two men and a woman entered, went out, and re-entered, made gestures, and seemed to me like lively dwarfs: to my great surprise, one of these dwarfs fell on his knees, kissed the lady's hand, then hid behind a screen; the other, who was coming in, seemed angry, and raised his arm. I was then seven, I could understand nothing of what was going on; but the well of crimson velvet was so crowded, gilded, and bright, that after a quarter of an hour I was, as it were, intoxicated, and fell asleep.",james
14,"Every one of us may find similar recollections in his memory, and may distinguish in them a common character. The primitive impression has been accompanied by an extraordinary degree of attention, either as being horrible or delightful, or as being new, surprising, and out of proportion to the ordinary run of our life; this it is we express by saying that we have been strongly impressed; that we were absorbed, that we could not think of anything else; that our other sensations were effaced; that we were pursued all the next day by the resulting image; that it beset us, that we could not drive it away; that all distractions were feeble beside it. It is by force of this disproportion that impressions of childhood are so persistent; the mind being quite fresh, ordinary objects and events are surprising. At present, after seeing so many large halls and full theatres, it is impossible for me, when I enter one, to feel swallowed up, engulfed, and, as it were, lost in a huge dazzling well. The medical man of sixty, who has experienced much suffering, both personally and in imagination, would be less upset now by a surgical operation than when he was a child.",james
15,"Whatever may be the kind of attention, voluntary or involuntary, it always acts alike; the image of an object or event is capable of revival, and of complete revival, in proportion to the degree of attention with which we have considered the object or event. We put this rule in practice at every moment in ordinary life. If we are applying ourselves to a book or are in lively conversation, while an air [p. 672] is being sung in the adjoining room, we do not retain it; we know vaguely that there is singing going on, and that is all. We then stop our reading or conversation, we lay aside all internal preoccupations and external sensations which our mind or the outer world can throw in our way; we close our eyes, we cause a silence within and about us, and, if the air is repeated, we listen. We say then that we have listened with all our ears, that we have applied our whole minds. If the air is a fine one, and has touched us deeply, we add that we have been transported, uplifted, ravished, that we have forgotten the world and ourselves; that for some minutes our soul was dead to all but sounds...",james
16,"This exclusive momentary ascendency of one of our states of mind explains the greater durability of its aptitude for revival and for more complete revival. As the sensation revives in the image, the image reappears with a force proportioned to that of the sensation. What we meet with in the first state is also to be met with in the second, since the second is but a revival of the first. So, in the struggle for life, in which all our images are constantly engaged, the one furnished at the outset with most force retains in each conflict, by the very law of repetition which gives it being, the capacity of treading down its adversaries; this is why it revives, incessantly at first, then frequently, until at last the laws of progressive decay, and the continual accession of new impressions bake away its preponderance, and its competitors, finding a clear field, are able to develop in their turn.",james
17,"A second cause of prolonged revivals is repetition itself. Every one knows that to learn a thing we must not only consider it attentively, but consider it repeatedly. We say as to this in ordinary language, that an impression many times renewed is imprinted more deeply and exactly on the memory. This is how we contrive to retain a language, airs of music, passages of verse or prose, the technical terms and propositions of a science, and still more so the ordinary facts by which our conduct is regulated. When, from the form and color of a currant-jelly, we think of its taste, or, when tasting it with our eyes shut, we magine [sic] its red tint and the brilliancy of a quivering slice, the images in our mind are brightened by repetition. Whenever we eat, or drink, or walk, or avail ourselves of any of our senses, or commence or continue any action whatever, the same thing happens. Every man and every animal thus possesses at every moment of life a certain stock of clear and easily reviving images, which had their source in the past in a confluence of numerous experiences, and are now fed by a flow of renewed experiences. When I want to go from the Tuileries to the Pantheon, or from my study to the dining-room, I foresee at every turn the colored forms which will present themselves to my sight; it is otherwise in the case of a house where I have spent two hours, or of a town where I have stayed three days; after ten years have elapsed the images will be vague, full of blanks, sometimes they will not exist, and I shall have to seek my way or shall lose myself. -- This new property of [p. 673] images is also derived from the first. As every sensation tends to revive in its image, the sensation twice repeated will leave after it a double tendency, that is, provided the attention be as great the second time as the first; usually this is not the case, for, the novelty diminishing, the interest diminishes; but if other circumstances renew the interest, or if the will renovates the attention, the incessantly increasing tendency will incessantly increase the chances of the resurrection and integrity of the image.",james
18,"If a phenomenon is met with, however, too often, and with too great a variety of contexts, although its image is retained and reproduced with correspondingly great facility, it fails to come up with any one particular setting, and the projection of it backwards to a particular past date consequently does not come about. We recognize but do not remember it -- its associates form too confused a cloud. No one is said to remember, says Mr. Spencer, ""that the object at which he looks has an opposite side; or that a certain modification of the visual impression implies a certain distance; or that the thing he sees moving about is a live animal. To ask a man whether he remembers that the sun shines, that fire burns, that iron is hard, would be a misuse of language. Even the almost fortuitous connections among our experiences cease to be classed as memories when they have become thoroughly familiar. Though, on hearing the voice of some unseen person slightly known to us, we say we recollect to whom the voice belongs, we do not use the same expression respecting the voices of those with whom we live. The meanings of words which in childhood have to be consciously recalled seem in adult life to be immediately present.""",james
19,"These are cases where too many paths, leading to too diverse associates, block each other's way, and all that the mind gets along with its object is a fringe of felt familiarity or sense that there are associates. A similar result comes about when a definite setting is only nascently aroused. We then feel that we have seen the object already, but when or where we cannot say, though we may seem to ourselves to be on the brink of saying it. That nascent cerebral excitations can effect consciousness with a sort of sense of the imminence of that which stronger excitations would make us definitely feel, is obvious from what happens when we seek to remember a name. It tingles, it trembles on the verge, but does not come. Just such a tingling and trembling of unrecovered associates is the penumbra of recognition that may surround any experience and make it seem familiar, though we know not why.",james
20,"There is a curious experience which everyone seems to have had -- the feeling that the present moment in its completeness has been experienced before -- we were saying just this thing, in just this place, to just these people, etc. This 'sense of pre-existence' has been treated as a great mystery and occasioned much speculation. Dr. Wigan considered it due to a dissociation of the action of the two hemispheres, one of them becoming conscious a little later than the other, but both of the same fact. I must confess that the quality of mystery seems to me a little strained. I have over and over again in my own case succeeded in resolving the phenomenon into a case of memory, so indistinct that whilst some past circumstances are presented again, the others are not. The dissimilar portions of the past do not arise completely enough at first for the date to be identified. All we get is the present scene with a general suggestion of pastness about it. That faithful observer, Prof. Lazarus, interprets the phenomenon the same way; and it is noteworthy that just as soon as the past context grows complete and distinct the emotion of weirdness fades from the experience.",james
